trade_date,next_trade_date,code,name,pool_type,board,pct_chg,close,limit_price,amount,turnover,first_seal_time,last_seal_time,break_count,close_vs_limit,industry,industry_board_rank,industry_limitup_count_today,market_index_trend,emotion_stage,prev_industry_open_good_rate,prev_industry_close_good_rate,prev_industry_sample_count,action_score,risk_score,board_action_quality,broken_board_quality,next_day_premium_risk,realized_label,next_open,next_high,next_close,open_premium,high_premium,close_return,net_open_return,low_open,rushed_high,continued_limit_up,lhb_listed,lhb_net_buy,institution_net,tracked_seats,buy_concentration,sell_concentration,stock_personality_tag,hist_limitup_count_3y,hist_failed_seal_count_3y,hist_failed_seal_rate_3y,hist_n,hist_open_win_rate,hist_no_premium_rate,hist_avg_open,hist_median_open,hist_avg_high,hist_avg_close,strong_is_new_high,strong_volume_ratio,tech_ma5_dev,tech_ma10_dev,tech_gain5,decision_reason,data_gaps,data_lineage
2026-08-28,2026-08-31,002942,新农股份,涨停,3,9.994739532470703,20.91,,512135680.0,18.389476776123047,09:25:00,14:03:57,3,,农化制品,1,6,指数上涨,情绪上升,,,0,11,0,可以打板,,低/可控,实际无溢价,19.99,23.0,22.0,-0.04399808703969399,0.09995217599234807,0.05212816834050682,-0.04599808703969399,True,True,False,True,-40319693.0,-68448212.8,,0.1026237829183598,0.1485911352536682,样本不足,,,,,,,,,,,是,9.6206636428833,17.94,24.82,31.68,收盘封住涨停；大环境：情绪上升，允许适度提高进攻仓位；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；炸板次数3次，封板稳定性一般；所属行业在今日涨停/炸板热度前排：农化制品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率不高，封板环境较好；盘后龙虎榜净卖出0.40亿，次日风险上升；机构净卖出0.68亿,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-28,2026-08-31,002855,捷荣技术,涨停,4,9.992486953735352,14.64,,75031464.0,2.081451416015625,09:25:00,09:25:00,0,,消费电子,1,1,指数上涨,情绪上升,,,0,12,-1,可以打板,,低/可控,实际有溢价,15.0,16.1,16.1,0.024590163934426146,0.0997267759562841,0.0997267759562841,0.022590163934426144,False,True,True,False,,,,,,样本不足,,,,,,,,,,,是,1.8309179544448853,19.9,31.51,44.24,收盘封住涨停；大环境：情绪上升，允许适度提高进攻仓位；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：消费电子；板块内封板排序第1，属于日内前排；图形新高或强势池新高；5日涨幅过高，次日兑现风险；今日涨停家数尚可；今日炸板率不高，封板环境较好,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-28,2026-08-31,000712,锦龙股份,涨停,3,9.972041130065918,11.8,,178845225.0,1.6920617818832397,09:25:00,09:25:00,0,,证券Ⅱ,1,1,指数上涨,情绪上升,,,0,13,-2,可以打板,,低/可控,实际有溢价,12.86,12.98,12.98,0.08983050847457608,0.09999999999999987,0.09999999999999987,0.08783050847457607,False,True,True,True,125186145.5,-10880141.0,,0.20279216507310813,0.07359664455424059,样本不足,1,0,0.0,1,0.0,1.0,-0.01834862385321101,-0.01834862385321101,-0.006116207951070374,-0.030581039755351758,是,0.410531222820282,17.53,25.87,37.53,收盘封住涨停；大环境：情绪上升，允许适度提高进攻仓位；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；题材/行业热度一般：证券Ⅱ；板块内封板排序第1，属于日内前排；图形新高或强势池新高；5日涨幅过高，次日兑现风险；今日涨停家数尚可；今日炸板率不高，封板环境较好；盘后龙虎榜净买入1.25亿，可改善次日风险；机构净卖出0.11亿,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-28,2026-08-31,002886,沃特股份,涨停,2,10.0,26.4,,112054800.0,2.030102014541626,09:25:00,09:25:00,0,,塑料,1,2,指数上涨,情绪上升,,,0,11,-2,可以打板,,低/可控,实际有溢价,27.61,29.04,29.04,0.04583333333333339,0.10000000000000009,0.10000000000000009,0.04383333333333339,False,True,True,True,87645259.99,-14030454.17,,0.10978482771688651,0.08492554696222811,样本不足,1,0,0.0,1,0.0,1.0,-0.0197740112994349,-0.0197740112994349,-0.004237288135593209,-0.03578154425612046,否,0.1531028151512146,15.83,22.7,24.29,收盘封住涨停；大环境：情绪上升，允许适度提高进攻仓位；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；题材/行业热度一般：塑料；板块内封板排序第1，属于日内前排；今日涨停家数尚可；今日炸板率不高，封板环境较好；盘后龙虎榜净买入0.88亿，可改善次日风险；机构净卖出0.14亿,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-28,2026-08-31,002084,海鸥住工,涨停,5,10.056926727294922,5.8,,39002059.0,1.0431482791900635,09:25:00,09:25:00,0,,家居用品,1,3,指数上涨,情绪上升,,,0,12,-2,可以打板,,低/可控,实际有溢价,6.38,6.38,6.38,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.09800000000000009,False,True,True,True,6027033.0,0.0,,0.3965850134098069,0.3225054082895333,样本不足,,,,,,,,,,,是,0.5100452303886414,20.03,39.66,61.56,收盘封住涨停；大环境：情绪上升，允许适度提高进攻仓位；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：家居用品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；5日涨幅过高，次日兑现风险；今日涨停家数尚可；今日炸板率不高，封板环境较好；盘后龙虎榜净买入0.06亿，可改善次日风险,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-28,2026-08-31,600371,万向德农,涨停,4,10.009532928466797,11.54,,56645752.0,1.6777215003967285,09:25:02,09:25:02,0,,种植业,1,3,指数上涨,情绪上升,,,0,12,-1,可以打板,,低/可控,实际有溢价,12.69,12.69,12.69,0.09965337954939346,0.09965337954939346,0.09965337954939346,0.09765337954939346,False,True,True,False,,,,,,样本不足,,,,,,,,,,,是,0.13764996826648712,19.91,29.74,49.1,收盘封住涨停；大环境：情绪上升，允许适度提高进攻仓位；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：种植业；板块内封板排序第1，属于日内前排；图形新高或强势池新高；5日涨幅过高，次日兑现风险；今日涨停家数尚可；今日炸板率不高，封板环境较好,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-28,2026-08-31,600378,昊华科技,涨停,2,10.008254051208496,53.31,,2975549760.0,5.205942630767822,09:25:02,09:45:26,3,,化学制品,1,7,指数上涨,情绪上升,,,0,11,0,可以打板,,低/可控,实际无溢价,51.35,54.65,53.01,-0.036766085162258544,0.02513599699868685,-0.00562746201463149,-0.038766085162258546,True,True,False,True,-319637352.63,-518525845.65,成都北一环:国泰海通证券股份有限公司成都北一环路证券营业部,0.12244174529869,0.19488032406431247,样本不足,1,1,1.0,1,1.0,0.0,0.005546177959971255,0.005546177959971255,0.07692307692307687,0.06269592476489039,否,1.360076665878296,14.22,13.32,12.85,收盘封住涨停；大环境：情绪上升，允许适度提高进攻仓位；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数3次，封板稳定性一般；换手处于可承接区间；成交额较大，具备市场辨识度；所属行业在今日涨停/炸板热度前排：化学制品；板块内封板排序第1，属于日内前排；今日涨停家数尚可；今日炸板率不高，封板环境较好；盘后龙虎榜净卖出3.20亿，次日风险上升；机构净卖出5.19亿；关注席位上榜：成都北一环:国泰海通证券股份有限公司成都北一环路证券营业部,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-28,2026-08-31,600654,中安科,涨停,2,10.0,3.63,,423233984.0,5.031227111816406,09:25:03,09:33:21,1,,软件开发,1,6,指数上涨,情绪上升,,,0,12,-3,可以打板,,低/可控,实际无溢价,3.41,3.49,3.36,-0.06060606060606055,-0.038567493112947604,-0.07438016528925617,-0.06260606060606055,True,True,False,True,44341982.08,0.0,,0.16220403720294332,0.11408332128877036,样本不足,,,,,,,,,,,是,1.9631378650665283,15.09,20.48,27.37,收盘封住涨停；大环境：情绪上升，允许适度提高进攻仓位；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数1次，可接受但需看承接；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：软件开发；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率不高，封板环境较好；盘后龙虎榜净买入0.44亿，可改善次日风险,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-28,2026-08-31,600540,新赛股份,涨停,2,10.0217866897583,5.05,,26090416.0,0.8886521458625793,09:25:03,09:25:03,0,,种植业,2,3,指数上涨,情绪上升,,,0,10,-1,可以打板,,低/可控,实际有溢价,5.56,5.56,5.56,0.10099009900990086,0.10099009900990086,0.10099009900990086,0.09899009900990086,False,True,True,True,31911417.55,0.0,,0.5807314707230574,0.10278426403488564,样本不足,1,1,1.0,1,1.0,0.0,0.04699738903394257,0.04699738903394257,0.04699738903394257,0.005221932114882533,是,0.17028188705444336,14.93,19.39,27.85,收盘封住涨停；大环境：情绪上升，允许适度提高进攻仓位；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；换手过低，成交验证不足；成交额过低，容量和滑点风险高；题材/行业热度一般：种植业；板块内封板排序第2，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率不高，封板环境较好；盘后龙虎榜净买入0.32亿，可改善次日风险,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-28,2026-08-31,002631,德尔未来,涨停,1,10.0217866897583,10.1,,963976608.0,12.116863250732422,09:30:00,13:08:18,9,,家居用品,2,3,指数上涨,情绪上升,,,0,6,2,谨慎可打,,中：需看集合竞价承接,实际有溢价,10.27,10.96,10.76,0.016831683168316847,0.08514851485148522,0.0653465346534654,0.014831683168316847,False,True,False,False,,,,,,样本不足,2,0,0.0,2,0.5,0.5,0.0011520737327188613,0.0011520737327188613,0.033098571138741484,-0.014803060603425733,,,10.6,11.58,5.87,收盘封住涨停；大环境：情绪上升，允许适度提高进攻仓位；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数9次，封板分歧大；换手处于可承接区间；题材/行业热度一般：家居用品；板块内封板排序第2，属于日内前排；今日涨停家数尚可；今日炸板率不高，封板环境较好,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
