trade_date,next_trade_date,code,name,pool_type,board,pct_chg,close,limit_price,amount,turnover,first_seal_time,last_seal_time,break_count,close_vs_limit,industry,action_score,risk_score,board_action_quality,broken_board_quality,next_day_premium_risk,realized_label,lhb_listed,lhb_net_buy,institution_net,tracked_seats,buy_concentration,sell_concentration,hist_n,hist_open_win_rate,hist_avg_open,strong_is_new_high,strong_volume_ratio,tech_ma5_dev,tech_ma10_dev,tech_gain5,decision_reason,data_gaps,data_lineage
2026-08-25,2026-08-26,603360,百傲化学,涨停,1,9.984025001525879,13.77,,157842229.0,1.651909589767456,09:35:18,09:35:33,1,,农化制品,3,1,不能打板,,低/可控,T+1未到/行情缺失,False,,,,,,,,,,,7.92,4.39,2.23,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数1次，可接受但需看承接；题材/行业热度一般：农化制品；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,600470,六国化工,涨停,1,10.018552780151367,5.93,,206076496.0,6.776531219482422,09:35:23,09:37:05,1,,农化制品,4,1,不能打板,,低/可控,T+1未到/行情缺失,False,,,,,,,,,,,5.14,5.61,3.49,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：农化制品；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,003040,楚天龙,涨停,3,10.021322250366211,15.48,,678449056.0,9.913867950439453,09:35:48,09:35:48,0,,通信设备,10,-2,可以打板,,低/可控,T+1未到/行情缺失,False,,,,,,2,0.5,0.015650080256821797,是,1.6467267274856567,19.41,24.7,34.26,收盘封住涨停；首次封板在10:30前；3板以上有辨识度；未炸板；换手处于可承接区间；题材/行业热度一般：通信设备；图形新高或强势池新高；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,600838,上海九百,涨停,1,10.013717651367188,8.02,,110387309.0,3.4841597080230713,09:36:50,09:37:08,1,,一般零售,5,0,谨慎可打,,低/可控,T+1未到/行情缺失,False,,,,,,,,,,,6.79,6.73,5.25,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数1次，可接受但需看承接；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：一般零售；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,600281,华阳新材,涨停,1,10.0217866897583,5.05,,158661819.0,6.229799747467041,09:39:46,10:11:43,2,,小金属,4,1,不能打板,,低/可控,T+1未到/行情缺失,False,,,,,,,,,,,5.74,7.63,3.7,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数2次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：小金属；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,603095,越剑智能,涨停,1,9.993292808532715,16.4,,291867280.0,7.050419330596924,09:40:37,10:03:52,1,,专用设备,4,2,不能打板,,中：需看集合竞价承接,T+1未到/行情缺失,False,,,,,,3,0.0,-0.0336857030993725,否,1.3429361581802368,9.86,9.65,5.67,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：专用设备；今日涨停家数尚可；股性历史次日溢价偏弱：n=3 胜率0.0%,龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,603079,圣达生物,涨停,1,9.97624683380127,13.89,,213084522.0,8.403953552246094,09:42:29,09:42:29,0,,化学制品,6,0,谨慎可打,,低/可控,T+1未到/行情缺失,False,,,,,,1,0.0,-0.01924447612259439,否,0.738919734954834,4.34,3.7,-5.7,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手处于可承接区间；题材/行业热度一般：化学制品；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,002742,冀衡医药,涨停,1,10.117647171020508,4.68,,221288284.0,9.226219177246094,09:43:06,09:43:06,0,,化学制药,7,-1,谨慎可打,,低/可控,T+1未到/行情缺失,False,,,,,,1,1.0,0.009685230024213176,,,8.23,7.19,8.58,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：化学制药；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,002412,汉森制药,涨停,5,9.991079330444336,12.33,,1236227040.0,21.265901565551758,09:45:36,09:45:36,0,,中药Ⅱ,9,0,可以打板,,低/可控,T+1未到/行情缺失,True,-102295843.37,-13992921.380000003,拉萨系:东方财富证券股份有限公司拉萨金融城南环路证券营业部,0.07074320445455781,0.13334476431075237,2,1.0,0.08497357790064652,是,3.92576003074646,19.92,39.27,61.18,收盘封住涨停；首次封板在10:30前；3板以上有辨识度；未炸板；题材/行业热度一般：中药Ⅱ；图形新高或强势池新高；5日涨幅过高，次日兑现风险；今日涨停家数尚可；盘后龙虎榜净卖出1.02亿，次日风险上升；机构净卖出0.14亿；关注席位上榜：拉萨系:东方财富证券股份有限公司拉萨金融城南环路证券营业部,同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,600103,青山纸业,涨停,1,10.139860153198242,3.15,,513461552.0,7.509376525878906,09:45:37,09:45:37,0,,造纸,6,-1,谨慎可打,,低/可控,T+1未到/行情缺失,True,56991752.4,0.0,,0.22001028330172168,0.10901511171783057,,,,,,8.02,6.6,5.0,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手处于可承接区间；题材/行业热度一般：造纸；今日涨停家数尚可；盘后龙虎榜净买入0.57亿，可改善次日风险,同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,603395,红四方,涨停,1,10.019268035888672,28.55,,375668736.0,20.862396240234375,09:47:13,09:47:13,0,,农化制品,5,0,谨慎可打,,低/可控,T+1未到/行情缺失,False,,,,,,,,,否,0.9382087588310242,0.73,10.56,8.31,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；题材/行业热度一般：农化制品；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,603113,金能科技,涨停,1,10.0401611328125,5.48,,188585335.0,4.19357442855835,09:48:36,09:48:36,0,,化学原料,6,-1,谨慎可打,,低/可控,T+1未到/行情缺失,True,20833620.0,0.0,,0.244045142746651,0.13357197154275013,,,,,,4.38,10.86,17.09,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手处于可承接区间；题材/行业热度一般：化学原料；今日涨停家数尚可；盘后龙虎榜净买入0.21亿，可改善次日风险,同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,002907,华森制药,涨停,1,9.993012428283691,15.74,,254303035.0,4.9629011154174805,09:49:06,09:49:06,0,,中药Ⅱ,6,0,谨慎可打,,低/可控,T+1未到/行情缺失,False,,,,,,,,,,,4.09,4.2,-0.51,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手处于可承接区间；题材/行业热度一般：中药Ⅱ；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-25,2026-08-26,000695,滨海能源,涨停,1,10.035842895507812,15.35,,299793120.0,9.000675201416016,09:53:00,09:59:51,1,,电池,5,1,谨慎可打,,低/可控,T+1未到/行情缺失,False,,,,,,,,,,,7.73,8.8,9.8,收盘封住涨停；首次封板在10:30前；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：电池；接近年/三年高点，图形有辨识度；今日涨停家数尚可,同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
