trade_date,next_trade_date,code,name,pool_type,board,pct_chg,close,limit_price,amount,turnover,first_seal_time,last_seal_time,break_count,close_vs_limit,industry,industry_board_rank,industry_limitup_count_today,market_index_trend,emotion_stage,prev_industry_open_good_rate,prev_industry_close_good_rate,prev_industry_sample_count,action_score,signal_risk_score,postclose_risk_score,risk_score,board_action_quality,broken_board_quality,next_day_premium_risk,realized_label,next_open,next_high,next_close,outcome_source,open_premium,high_premium,close_return,net_open_return,low_open,rushed_high,continued_limit_up,lhb_listed,lhb_net_buy,institution_net,tracked_seats,buy_concentration,sell_concentration,stock_personality_tag,hist_limitup_count_3y,hist_failed_seal_count_3y,hist_failed_seal_rate_3y,hist_limitup_count_1y,hist_failed_seal_count_1y,hist_broken_board_rate_1y,hist_open_premium_mean_1y,hist_high_premium_mean_1y,hist_broken_board_rate_3y,hist_broken_sample_count_3y,hist_broken_a_kill_count_3y,hist_broken_a_kill_rate_3y,hist_a_kill_bloodline_index,hist_open_premium_mean_3y,hist_high_premium_mean_3y,personality_forced_downgrade,hist_n,hist_open_win_rate,hist_no_premium_rate,hist_avg_open,hist_median_open,hist_avg_high,hist_avg_close,strong_is_new_high,strong_volume_ratio,tech_ma5_dev,tech_ma10_dev,tech_gain5,signal_decision_reason,postclose_risk_reason,decision_reason,data_gaps,data_lineage
2026-09-09,2026-09-10,000523,红棉股份,涨停,2,10.1010103225708,4.36,,108357676.0,1.3846906423568726,09:25:00,09:25:00,0,,综合Ⅱ,1,1,指数下跌,情绪退潮,,,0,10,1,2,2,可以打板,,中：需看集合竞价承接,实际有溢价,4.8,4.8,4.46,D:\codex\outputs\a_share_technical_screener\2026-09-10\raw_spot_sina.csv,0.10091743119266039,0.10091743119266039,0.022935779816513735,0.09891743119266039,False,True,False,True,-171203153.04,0.0,松江中山东路:国泰海通证券股份有限公司上海松江区中山东路证券营业部,0.2921039930311708,0.575144171606494,样本不足,3,2,0.6666666666666666,3,2,0.6666666666666666,0.02999999999999997,0.07153846153846144,0.6666666666666666,2,0,0.0,0.0,0.02999999999999997,0.07153846153846144,,2,0.5,0.5,0.02999999999999997,0.02999999999999997,0.07153846153846144,0.05461538461538451,是,0.2775335907936096,17.08,21.89,29.76,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；题材/行业热度一般：综合Ⅱ；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,盘后龙虎榜净卖出1.71亿，次日风险上升；关注席位上榜：松江中山东路:国泰海通证券股份有限公司上海松江区中山东路证券营业部；卖方集中度明显高于买方,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；题材/行业热度一般：综合Ⅱ；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-09,2026-09-10,000912,泸天化,涨停,2,9.936574935913086,5.2,,767886016.0,9.434304237365723,09:25:00,10:11:39,4,,农化制品,1,3,指数下跌,情绪退潮,,,0,9,2,1,1,可以打板,,低/可控,实际无溢价,4.8,5.16,4.68,D:\codex\outputs\a_share_technical_screener\2026-09-10\raw_spot_sina.csv,-0.07692307692307698,-0.007692307692307665,-0.10000000000000009,-0.07892307692307698,True,True,False,True,2171085.40000001,0.0,,0.13295965999740747,0.1307746397111599,样本不足,2,1,0.5,2,1,0.5,-0.02064220183486254,0.10091743119266039,0.5,1,0,0.0,0.0,-0.02064220183486254,0.10091743119266039,,1,0.0,1.0,-0.02064220183486254,-0.02064220183486254,0.10091743119266039,0.06422018348623837,是,1.8610111474990845,14.89,16.46,18.72,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数4次，封板稳定性一般；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：农化制品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,盘后龙虎榜净买入0.02亿，可改善次日风险,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数4次，封板稳定性一般；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：农化制品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-09,2026-09-10,002162,悦心健康,涨停,1,10.0,4.51,,491451008.0,12.000399589538574,09:25:00,14:09:57,8,,家居用品,1,2,指数下跌,情绪退潮,,,0,5,5,5,5,不能打板,,高：次日无溢价风险高,实际无溢价,4.33,4.88,4.59,D:\codex\outputs\a_share_technical_screener\2026-09-10\raw_spot_sina.csv,-0.039911308203991025,0.08203991130820398,0.017738359201773912,-0.04191130820399103,True,True,False,False,,,,,,样本不足,,,,,,,,,,,,,,,,,,,,,,,,是,13.796723365783691,8.88,9.47,10.0,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数8次，封板分歧大；换手处于可承接区间；题材/行业热度一般：家居用品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数8次，封板分歧大；换手处于可承接区间；题材/行业热度一般：家居用品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-09,2026-09-10,002295,精艺股份,涨停,2,9.97150993347168,11.58,,84449026.0,2.9120917320251465,09:25:00,09:25:00,0,,工业金属,1,1,指数下跌,情绪退潮,,,0,9,5,5,5,不能打板,,高：次日无溢价风险高,实际无溢价,11.4,12.74,12.32,D:\codex\outputs\a_share_technical_screener\2026-09-10\raw_spot_sina.csv,-0.015544041450777146,0.10017271157167529,0.06390328151986191,-0.017544041450777148,True,True,False,True,55206723.23,-10777284.3,,0.30065920465990575,0.10756637980482925,A杀血统高,3,3,1.0,3,3,1.0,-0.0013401047820089107,0.028566349185018436,1.0,3,1,0.3333333333333333,0.3333333333333333,-0.0013401047820089107,0.028566349185018436,禁止打板,2,0.5,0.5,-0.0013401047820089107,-0.0013401047820089107,0.028566349185018436,-0.024210075422888944,是,0.4736323058605194,13.11,14.09,15.92,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：工业金属；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折；A杀血统指数偏高：历史炸板样本3，炸板后A杀率33.3%；历史炸板A杀率>30%，按股性记忆强制禁止打板,盘后龙虎榜净买入0.55亿，可改善次日风险；机构净卖出0.11亿,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：工业金属；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折；A杀血统指数偏高：历史炸板样本3，炸板后A杀率33.3%；历史炸板A杀率>30%，按股性记忆强制禁止打板,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-09,2026-09-10,002470,金正大,涨停,3,9.881422996520996,2.78,,296155888.0,3.242213726043701,09:25:00,09:25:00,0,,农化制品,2,3,指数下跌,情绪退潮,,,0,13,-1,-1,-1,可以打板,,低/可控,实际无溢价,2.78,2.8,2.51,D:\codex\outputs\a_share_technical_screener\2026-09-10\raw_spot_sina.csv,0.0,0.007194244604316502,-0.09712230215827344,-0.002,False,False,False,False,,,,,,样本不足,3,1,0.3333333333333333,3,1,0.3333333333333333,0.032402548725637303,0.07801724137931043,0.3333333333333333,1,0,0.0,0.0,0.032402548725637303,0.07801724137931043,,2,1.0,0.0,0.032402548725637303,0.032402548725637303,0.07801724137931043,0.017672413793103525,是,0.3444910943508148,18.1,22.95,28.11,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：农化制品；板块内封板排序第2，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：农化制品；板块内封板排序第2，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-09,2026-09-10,002790,瑞尔特,涨停,2,10.01430606842041,7.69,,170843793.0,8.521891593933105,09:25:00,09:25:00,0,,家居用品,2,2,指数下跌,情绪退潮,,,0,11,1,3,3,可以打板,,中：需看集合竞价承接,实际有溢价,8.46,8.46,8.46,D:\codex\outputs\a_share_technical_screener\2026-09-10\raw_spot_sina.csv,0.10013003901170348,0.10013003901170348,0.10013003901170348,0.09813003901170347,False,True,True,True,-11527390.82,-25176515.42,,0.3234902217938143,0.32665450393335765,样本不足,1,1,1.0,1,1,1.0,,,1.0,1,0,0.0,0.0,,,,0,,,,,,,是,2.61879563331604,13.32,17.44,16.34,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；换手处于可承接区间；题材/行业热度一般：家居用品；板块内封板排序第2，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,盘后龙虎榜净卖出0.12亿，次日风险上升；机构净卖出0.25亿,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；换手处于可承接区间；题材/行业热度一般：家居用品；板块内封板排序第2，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-09,2026-09-10,603042,华脉科技,涨停,3,10.017678260803223,18.67,,85302857.0,2.1885569095611572,09:25:02,09:25:02,0,,通信设备,1,6,指数下跌,情绪退潮,,,0,11,0,0,0,可以打板,,低/可控,实际无溢价,18.49,18.59,16.8,D:\codex\outputs\a_share_technical_screener\2026-09-10\raw_spot_sina.csv,-0.009641135511516019,-0.004284949116229342,-0.10016068559185864,-0.01164113551151602,True,False,False,False,,,,,,样本不足,2,0,0.0,2,0,0.0,0.0998055735580039,0.0998055735580039,0.0,0,0,,,0.0998055735580039,0.0998055735580039,,1,1.0,0.0,0.0998055735580039,0.0998055735580039,0.0998055735580039,0.0998055735580039,是,0.5427777767181396,17.51,23.65,29.2,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；成交额过低，容量和滑点风险高；所属行业在今日涨停/炸板热度前排：通信设备；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；成交额过低，容量和滑点风险高；所属行业在今日涨停/炸板热度前排：通信设备；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-09,2026-09-10,000980,众泰汽车,涨停,2,9.782608985900879,2.02,,347256832.0,3.442103147506714,09:30:33,09:30:51,1,,汽车零部,1,2,指数下跌,情绪退潮,,,0,8,2,2,2,可以打板,,中：需看集合竞价承接,实际有溢价,2.16,2.18,1.93,D:\codex\outputs\a_share_technical_screener\2026-09-10\raw_spot_sina.csv,0.06930693069306937,0.07920792079207928,-0.044554455445544594,0.06730693069306937,False,True,False,True,89046615.0,-10851147.0,,0.17746006757115257,0.10710317307236672,样本不足,1,1,1.0,1,1,1.0,,,1.0,1,0,0.0,0.0,,,,0,,,,,,,否,0.9378384947776794,14.51,16.36,17.44,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：汽车零部；板块内封板排序第1，属于日内前排；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,盘后龙虎榜净买入0.89亿，可改善次日风险；机构净卖出0.11亿,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：汽车零部；板块内封板排序第1，属于日内前排；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-09,2026-09-10,603421,鼎信通讯,涨停,1,9.950248718261719,6.63,,176790298.0,4.136899948120117,09:30:33,09:35:57,1,,通信设备,2,6,指数下跌,情绪退潮,,,0,7,2,2,2,谨慎可打,,中：需看集合竞价承接,实际有溢价,7.29,7.29,7.29,D:\codex\outputs\a_share_technical_screener\2026-09-10\raw_spot_sina.csv,0.09954751131221728,0.09954751131221728,0.09954751131221728,0.09754751131221728,False,True,True,False,,,,,,样本不足,1,1,1.0,1,1,1.0,-0.01404056162246492,-0.01092043681747279,1.0,1,0,0.0,0.0,-0.01404056162246492,-0.01092043681747279,,1,0.0,1.0,-0.01404056162246492,-0.01404056162246492,-0.01092043681747279,-0.04836193447737913,,,9.3,10.0,9.59,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数1次，可接受但需看承接；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：通信设备；板块内封板排序第2，属于日内前排；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数1次，可接受但需看承接；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：通信设备；板块内封板排序第2，属于日内前排；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
2026-09-09,2026-09-10,002077,大港股份,涨停,1,10.00800609588623,13.74,,1129163504.0,14.319376945495605,09:32:06,13:23:06,10,,半导体,1,1,指数下跌,情绪退潮,,,0,4,5,5,5,不能打板,,高：次日无溢价风险高,实际有溢价,13.77,14.23,14.05,D:\codex\outputs\a_share_technical_screener\2026-09-10\raw_spot_sina.csv,0.0021834061135370675,0.03566229985443958,0.022561863173216956,0.00018340611353706744,False,True,False,False,,,,,,样本不足,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,8.85,9.31,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数10次，封板分歧大；换手处于可承接区间；题材/行业热度一般：半导体；板块内封板排序第1，属于日内前排；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,,收盘封住涨停；大环境：情绪退潮，只能做前排或强辨识度，后排回避；指数环境：指数下跌；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数10次，封板分歧大；换手处于可承接区间；题材/行业热度一般：半导体；板块内封板排序第1，属于日内前排；今日涨停家数尚可；今日炸板率偏高，次日溢价打折,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项,AKShare/Eastmoney pools + local technical screener + local stock_personality_history/history detail + Eastmoney LHB
